
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-12


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.0
Magnitude Max:, 9.0
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, 20.0
D9-95 Max (sec):, 60.0
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
73, SRSS, 888, -, 1.0, -, 20.6, 38.6, 0.4, "Landers", 1992, "San Bernardino - E & Hospitality", 7.28, strike slip, 79.76, 79.76, 296.97, 0.1, 1.0, RSN888_LANDERS_HOS090.AT2, RSN888_LANDERS_HOS180.AT2 , RSN888_LANDERS_HOS-UP.AT2  
74, SRSS, 889, -, 1.0, -, 22.3, 30.8, 0.1, "Landers", 1992, "San Gabriel - E Grand Ave", 7.28, strike slip, 141.92, 141.92, 401.37, 0.06, 1.0, RSN889_LANDERS_GRN180.AT2, RSN889_LANDERS_GRN270.AT2 , RSN889_LANDERS_GRN-UP.AT2  
75, SRSS, 890, -, 1.0, -, 18.4, 30.2, 0.1, "Landers", 1992, "Santa Fe Springs - E.Joslin", 7.28, strike slip, 150.1, 150.1, 339.06, 0.04, 1.0, RSN890_LANDERS_EJS030.AT2, RSN890_LANDERS_EJS120.AT2 , RSN890_LANDERS_EJS-UP.AT2  
76, SRSS, 891, -, 1.0, -, 21.5, 31.7, 0.1, "Landers", 1992, "Silent Valley - Poppet Flat", 7.28, strike slip, 50.85, 50.85, 659.09, 0.12, 1.0, RSN891_LANDERS_SIL000.AT2, RSN891_LANDERS_SIL090.AT2 , RSN891_LANDERS_SIL-UP.AT2  
77, SRSS, 892, -, 1.0, -, 26.5, 39.9, 0.1, "Landers", 1992, "Sun Valley - Roscoe Blvd", 7.28, strike slip, 163.54, 163.54, 320.93, 0.05, 1.0, RSN892_LANDERS_RO3000.AT2, RSN892_LANDERS_RO3090.AT2 , RSN892_LANDERS_RO3-UP.AT2  
78, SRSS, 893, -, 1.0, -, 24.6, 30.3, 0.0, "Landers", 1992, "Sun Valley - Sunland", 7.28, strike slip, 158.25, 158.25, 393.67, 0.08, 1.0, RSN893_LANDERS_SUL230.AT2, RSN893_LANDERS_SUL320.AT2 , RSN893_LANDERS_SUL-UP.AT2  
79, SRSS, 894, -, 1.0, -, 25.8, 36.9, 0.1, "Landers", 1992, "Sunland - Mt Gleason Ave", 7.28, strike slip, 151.53, 151.53, 402.16, 0.05, 1.0, RSN894_LANDERS_GLE170.AT2, RSN894_LANDERS_GLE260.AT2 , RSN894_LANDERS_GLE-UP.AT2  
80, SRSS, 895, -, 1.0, -, 22.3, 38.6, 0.1, "Landers", 1992, "Tarzana - Cedar Hill", 7.28, strike slip, 175.65, 175.65, 257.21, 0.12, 1.0, RSN895_LANDERS_TAR000.AT2, RSN895_LANDERS_TAR090.AT2 , RSN895_LANDERS_TAR-UP.AT2  
81, SRSS, 896, -, 1.0, -, 22.9, 29.2, 0.1, "Landers", 1992, "Tustin - E Sycamore", 7.28, strike slip, 136.72, 136.72, 303.09, 0.04, 1.0, RSN896_LANDERS_SYC135.AT2, RSN896_LANDERS_SYC225.AT2 , RSN896_LANDERS_SYC-UP.AT2  
82, SRSS, 897, -, 1.0, -, 21.6, 30.9, 0.1, "Landers", 1992, "Twentynine Palms", 7.28, strike slip, 41.43, 41.43, 635.01, 0.12, 1.0, RSN897_LANDERS_29P000.AT2, RSN897_LANDERS_29P090.AT2 , RSN897_LANDERS_29P-UP.AT2  
83, SRSS, 898, -, 1.0, -, 21.3, 31.5, 0.0, "Landers", 1992, "Villa Park - Serrano Ave", 7.28, strike slip, 132.94, 132.94, 416.93, 0.1, 1.0, RSN898_LANDERS_SER000.AT2, RSN898_LANDERS_SER270.AT2 , RSN898_LANDERS_SER-UP.AT2  
84, SRSS, 899, -, 1.0, -, 22.3, 28.9, 0.1, "Landers", 1992, "West Covina - S Orange Ave", 7.28, strike slip, 132.32, 132.32, 334.69, 0.05, 1.0, RSN899_LANDERS_SOR225.AT2, RSN899_LANDERS_SOR315.AT2 , RSN899_LANDERS_SOR-UP.AT2  
85, SRSS, 1144, -, 1.0, -, 13.3, 23.0, 0.2, "Gulf of Aqaba", 1995, "Eilat", 7.2, strike slip, 43.29, 44.1, 354.88, 0.0625, 1.0, RSN1144_AQABA_EIL-EW.AT2, RSN1144_AQABA_EIL-NS.AT2 , RSN1144_AQABA_EIL-UP.AT2  
86, SRSS, 1145, -, 1.0, -, 22.9, 34.8, 0.0, "Gulf of Aqaba", 1995, "Hadera", 7.2, strike slip, 365.14, 366.03, 276.92, 0.125, 1.0, RSN1145_AQABA_HAD-EW.AT2, RSN1145_AQABA_HAD-NS.AT2 , RSN1145_AQABA_HAD-UP.AT2  
87, SRSS, 1147, -, 1.0, -, 9.8, 37.2, 1.2, "Kocaeli_ Turkey", 1999, "Ambarli", 7.51, strike slip, 68.09, 69.62, 175.0, 0.0375, 1.0, RSN1147_KOCAELI_ATS000.AT2, RSN1147_KOCAELI_ATS090.AT2 , RSN1147_KOCAELI_ATS-UP.AT2  
88, SRSS, 1149, -, 1.0, -, 11.1, 36.1, 0.3, "Kocaeli_ Turkey", 1999, "Atakoy", 7.51, strike slip, 56.49, 58.28, 310.01, 0.0375, 1.0, RSN1149_KOCAELI_ATK000.AT2, RSN1149_KOCAELI_ATK090.AT2 , RSN1149_KOCAELI_ATK-UP.AT2  
89, SRSS, 1151, -, 1.0, -, 29.1, 51.6, 0.0, "Kocaeli_ Turkey", 1999, "Balikesir", 7.51, strike slip, 180.24, 180.24, 468.44, 0.0375, 1.0, RSN1151_KOCAELI_BLK090.AT2, RSN1151_KOCAELI_BLK180.AT2 , RSN1151_KOCAELI_BLK-UP.AT2  
90, SRSS, 1153, -, 1.0, -, 6.9, 30.2, 0.1, "Kocaeli_ Turkey", 1999, "Botas", 7.51, strike slip, 126.03, 127.05, 341.56, 0.0375, 1.0, RSN1153_KOCAELI_BTS000.AT2, RSN1153_KOCAELI_BTS090.AT2 , RSN1153_KOCAELI_BTS-UP.AT2  
91, SRSS, 1154, -, 1.0, -, 19.8, 34.0, 0.1, "Kocaeli_ Turkey", 1999, "Bursa Sivil", 7.51, strike slip, 65.53, 65.53, 612.78, 0.1125, 1.0, RSN1154_KOCAELI_BSI090.AT2, RSN1154_KOCAELI_BSI180.AT2 , RSN1154_KOCAELI_BSI-UP.AT2  
92, SRSS, 1155, -, 1.0, -, 25.8, 41.2, 0.5, "Kocaeli_ Turkey", 1999, "Bursa Tofas", 7.51, strike slip, 60.43, 60.43, 289.69, 0.1, 1.0, RSN1155_KOCAELI_BUR000.AT2, RSN1155_KOCAELI_BUR090.AT2 , RSN1155_KOCAELI_BUR-UP.AT2  
93, SRSS, 1156, -, 1.0, -, 32.1, 57.6, 0.0, "Kocaeli_ Turkey", 1999, "Canakkale", 7.51, strike slip, 266.17, 266.17, 289.69, 0.0375, 1.0, RSN1156_KOCAELI_CNK090.AT2, RSN1156_KOCAELI_CNK180.AT2 , RSN1156_KOCAELI_CNK-UP.AT2  
94, SRSS, 1157, -, 1.0, -, 16.1, 37.0, 0.5, "Kocaeli_ Turkey", 1999, "Cekmece", 7.51, strike slip, 64.95, 66.69, 346.0, 0.025, 1.0, RSN1157_KOCAELI_CNA000.AT2, RSN1157_KOCAELI_CNA090.AT2 , RSN1157_KOCAELI_CNA-UP.AT2  
95, SRSS, 1160, -, 1.0, -, 27.8, 34.3, 1.0, "Kocaeli_ Turkey", 1999, "Fatih", 7.51, strike slip, 53.34, 55.48, 386.75, 0.025, 1.0, RSN1160_KOCAELI_FAT000.AT2, RSN1160_KOCAELI_FAT090.AT2 , RSN1160_KOCAELI_FAT-UP.AT2  
96, SRSS, 1163, -, 1.0, -, 12.5, 36.7, 0.2, "Kocaeli_ Turkey", 1999, "Hava Alani", 7.51, strike slip, 58.33, 60.05, 354.37, 0.025, 1.0, RSN1163_KOCAELI_DHM000.AT2, RSN1163_KOCAELI_DHM090.AT2 , RSN1163_KOCAELI_DHM-UP.AT2  
97, SRSS, 1164, -, 1.0, -, 18.8, 38.0, 0.0, "Kocaeli_ Turkey", 1999, "Istanbul", 7.51, strike slip, 49.66, 51.95, 595.2, 0.0875, 1.0, RSN1164_KOCAELI_IST090.AT2, RSN1164_KOCAELI_IST180.AT2 , RSN1164_KOCAELI_IST-UP.AT2  
98, SRSS, 1167, -, 1.0, -, 27.1, 57.2, 0.2, "Kocaeli_ Turkey", 1999, "Kutahya", 7.51, strike slip, 145.06, 145.06, 399.61, 0.1125, 1.0, RSN1167_KOCAELI_KUT090.AT2, RSN1167_KOCAELI_KUT180.AT2 , RSN1167_KOCAELI_KUT-UP.AT2  
99, SRSS, 1169, -, 1.0, -, 16.5, 37.5, 0.0, "Kocaeli_ Turkey", 1999, "Maslak", 7.51, strike slip, 52.96, 55.3, 445.66, 0.1125, 1.0, RSN1169_KOCAELI_MSK000.AT2, RSN1169_KOCAELI_MSK090.AT2 , RSN1169_KOCAELI_MSK-UP.AT2  
100, SRSS, 1175, -, 1.0, -, 30.9, 54.3, 0.0, "Kocaeli_ Turkey", 1999, "Usak", 7.51, strike slip, 226.72, 226.72, 356.39, 0.025, 1.0, RSN1175_KOCAELI_USK090.AT2, RSN1175_KOCAELI_USK180.AT2 , RSN1175_KOCAELI_USK-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-12 SRSS pSa (g),RSN-13 SRSS pSa (g),RSN-14 SRSS pSa (g),RSN-15 SRSS pSa (g),RSN-137 SRSS pSa (g),RSN-140 SRSS pSa (g),RSN-141 SRSS pSa (g),RSN-142 SRSS pSa (g),RSN-570 SRSS pSa (g),RSN-573 SRSS pSa (g),RSN-574 SRSS pSa (g),RSN-576 SRSS pSa (g),RSN-577 SRSS pSa (g),RSN-578 SRSS pSa (g),RSN-579 SRSS pSa (g),RSN-581 SRSS pSa (g),RSN-582 SRSS pSa (g),RSN-583 SRSS pSa (g),RSN-584 SRSS pSa (g),RSN-826 SRSS pSa (g),RSN-832 SRSS pSa (g),RSN-833 SRSS pSa (g),RSN-834 SRSS pSa (g),RSN-835 SRSS pSa (g),RSN-836 SRSS pSa (g),RSN-837 SRSS pSa (g),RSN-838 SRSS pSa (g),RSN-839 SRSS pSa (g),RSN-840 SRSS pSa (g),RSN-842 SRSS pSa (g),RSN-843 SRSS pSa (g),RSN-844 SRSS pSa (g),RSN-845 SRSS pSa (g),RSN-846 SRSS pSa (g),RSN-847 SRSS pSa (g),RSN-849 SRSS pSa (g),RSN-850 SRSS pSa (g),RSN-851 SRSS pSa (g),RSN-852 SRSS pSa (g),RSN-853 SRSS pSa (g),RSN-854 SRSS pSa (g),RSN-856 SRSS pSa (g),RSN-857 SRSS pSa (g),RSN-858 SRSS pSa (g),RSN-859 SRSS pSa (g),RSN-860 SRSS pSa (g),RSN-861 SRSS pSa (g),RSN-862 SRSS pSa (g),RSN-863 SRSS pSa (g),RSN-864 SRSS pSa (g),RSN-865 SRSS pSa (g),RSN-866 SRSS pSa (g),RSN-867 SRSS pSa (g),RSN-868 SRSS pSa (g),RSN-869 SRSS pSa (g),RSN-870 SRSS pSa (g),RSN-871 SRSS pSa (g),RSN-872 SRSS pSa (g),RSN-873 SRSS pSa (g),RSN-874 SRSS pSa (g),RSN-875 SRSS pSa (g),RSN-876 SRSS pSa (g),RSN-877 SRSS pSa (g),RSN-878 SRSS pSa (g),RSN-880 SRSS pSa (g),RSN-881 SRSS pSa (g),RSN-882 SRSS pSa (g),RSN-883 SRSS pSa (g),RSN-884 SRSS pSa (g),RSN-885 SRSS pSa (g),RSN-886 SRSS pSa (g),RSN-887 SRSS pSa (g),RSN-888 SRSS pSa (g),RSN-889 SRSS pSa (g),RSN-890 SRSS pSa (g),RSN-891 SRSS pSa (g),RSN-892 SRSS pSa (g),RSN-893 SRSS pSa (g),RSN-894 SRSS pSa (g),RSN-895 SRSS pSa (g),RSN-896 SRSS pSa (g),RSN-897 SRSS pSa (g),RSN-898 SRSS pSa (g),RSN-899 SRSS pSa (g),RSN-1144 SRSS pSa (g),RSN-1145 SRSS pSa (g),RSN-1147 SRSS pSa (g),RSN-1149 SRSS pSa (g),RSN-1151 SRSS pSa (g),RSN-1153 SRSS pSa (g),RSN-1154 SRSS pSa (g),RSN-1155 SRSS pSa (g),RSN-1156 SRSS pSa (g),RSN-1157 SRSS pSa (g),RSN-1160 SRSS pSa (g),RSN-1163 SRSS pSa (g),RSN-1164 SRSS pSa (g),RSN-1167 SRSS pSa (g),RSN-1169 SRSS pSa (g),RSN-1175 SRSS pSa (g)
0.01,0.10925845,0.21934794,0.05442225,0.07262072,0.07210871,0.16046622,0.24246551,0.11515276,0.1421111,0.0487703,0.03872496,0.19685709,0.19461673,0.17054594,0.22387932,0.21568323,0.29117722,0.20742677,0.2260538,0.21812925,0.18861501,0.21281942,0.2370687,0.18793652,0.06409128,0.03980064,0.07104257,0.15244395,0.04351524,0.18974351,0.05811649,0.03782152,0.06126815,0.06451222,0.08557254,0.02274336,0.04427666,0.09158581,0.08193349,0.23406464,0.06531054,0.0352375,0.05684333,0.07360388,0.09381947,0.0803269,0.0738088,0.06786753,0.12828252,0.08086857,0.15150082,0.05538017,0.39614838,0.05988222,0.05407311,0.054497,0.04660108,0.05101363,0.07793243,0.05780032,0.04602564,0.08162133,0.07783367,0.03682165,0.06036554,0.05466876,0.07850859,0.1829684,0.27708764,0.19111956,0.05335733,0.11810828,0.08115463,0.06577791,0.05997819,0.11736155,0.06139947,0.07822412,0.06500276,0.04623239,0.03155631,0.04592144,0.07911601,0.0584465,0.10259874,0.04690371,0.06683009,0.12296198,0.02318041,0.3136694,0.19649512,0.02561758,0.13198705,0.07066454,0.1423843,0.03782214,0.22117182,0.24823758,0.12362943,0.07492415,0.07802185,0.06530032,0.01822774
0.02,0.10991148,0.22122389,0.05460772,0.07283048,0.07178594,0.15973219,0.24135757,0.1164394,0.14299198,0.04901691,0.03887102,0.19591348,0.19356515,0.17044711,0.2244669,0.2152407,0.29184077,0.20711199,0.22560724,0.21755539,0.1879613,0.21194113,0.2388078,0.18897234,0.06422224,0.04001114,0.07116141,0.15337948,0.04363724,0.19087056,0.05829721,0.03798937,0.06132358,0.06468719,0.08580546,0.02303426,0.04435017,0.09178351,0.08217412,0.23657839,0.06574789,0.03533191,0.05689963,0.07422256,0.09403336,0.08067439,0.07407896,0.06791487,0.12859301,0.08098053,0.15254537,0.05566001,0.39901042,0.06026387,0.05419165,0.05455082,0.04682273,0.05120087,0.07850113,0.05796142,0.04606036,0.08171005,0.07797403,0.03708185,0.06052287,0.05472522,0.07886771,0.20352492,0.28018837,0.19283393,0.05341117,0.11824276,0.0817468,0.06561158,0.06019413,0.11674061,0.06150961,0.07849111,0.06522454,0.04635315,0.03169499,0.04597913,0.07993294,0.05875111,0.10330822,0.04706785,0.06707622,0.12367854,0.02321124,0.31446687,0.19744786,0.0254979,0.13283771,0.07046319,0.14305102,0.03775626,0.22355579,0.26222078,0.12379347,0.07458162,0.07787715,0.06675781,0.01817778
0.022,0.11095115,0.2233801,0.05510857,0.07290508,0.07180535,0.15978457,0.24179818,0.1219663,0.14718172,0.04925924,0.04001232,0.19607853,0.19366982,0.17066665,0.22439441,0.21540186,0.29178952,0.20716629,0.22560701,0.21756338,0.1880382,0.21207189,0.24036928,0.1931476,0.06425527,0.04019968,0.07112323,0.15569473,0.04360387,0.19411539,0.05835261,0.03808915,0.06133999,0.06479923,0.08577193,0.02304674,0.04438294,0.09187656,0.08213474,0.24395092,0.06604505,0.03529394,0.05690586,0.07519813,0.09408691,0.08077242,0.07426811,0.06792554,0.13614318,0.08101339,0.15252254,0.05565374,0.39944168,0.06043868,0.05423082,0.05457666,0.04719514,0.05127061,0.07966073,0.05800056,0.04608682,0.08175628,0.07804786,0.03715787,0.06058483,0.05473528,0.07902489,0.2119629,0.28170347,0.194041,0.05341318,0.12177386,0.08461724,0.07187703,0.06246956,0.11680581,0.06157054,0.07860303,0.06800238,0.04639329,0.03176131,0.04599057,0.08055542,0.058738,0.11072846,0.04708742,0.06724146,0.12366039,0.02321511,0.31446503,0.19768911,0.02551005,0.1331987,0.07048765,0.14463916,0.03776228,0.22394459,0.28109363,0.1237923,0.07514786,0.07788703,0.06765242,0.01818202
0.025,0.11131877,0.22394725,0.05533387,0.07299318,0.07183327,0.15987178,0.24264101,0.11799327,0.14779335,0.04976762,0.03951607,0.19593663,0.19411976,0.17098322,0.22467518,0.21557475,0.2926872,0.20728107,0.22560587,0.2175604,0.1881501,0.21208928,0.2370553,0.19151105,0.06435235,0.04025019,0.0711339,0.15756601,0.04367027,0.19058583,0.05843986,0.03834052,0.06135318,0.06481473,0.0859876,0.02348194,0.04441335,0.09216255,0.08235647,0.24547255,0.0653077,0.03544552,0.05694541,0.07455657,0.09418151,0.08105546,0.07431952,0.0680047,0.14430369,0.08106433,0.15340564,0.05578793,0.39815868,0.06006919,0.05434447,0.05464851,0.04781194,0.05135385,0.08160218,0.05816296,0.04614058,0.08176064,0.0780611,0.03722139,0.0604939,0.05486131,0.07893652,0.21494832,0.28119103,0.19671218,0.05348699,0.12792874,0.0841657,0.0734893,0.06797112,0.11708794,0.06164416,0.07875063,0.06968021,0.04643247,0.03181067,0.04604007,0.07825759,0.05898509,0.11237247,0.04732616,0.0673271,0.12417328,0.0232532,0.31663615,0.19772733,0.02553211,0.13369517,0.07052003,0.14432679,0.03777174,0.22216477,0.28911195,0.12381107,0.07511715,0.07790051,0.06831325,0.01818885
0.029,0.11164258,0.22618642,0.05510528,0.07321709,0.07188675,0.16001824,0.24402617,0.11595401,0.14241967,0.05015414,0.03951597,0.19795427,0.19390755,0.17163017,0.22439004,0.21585223,0.29249425,0.20746427,0.22587395,0.21794663,0.18847346,0.21260726,0.23511853,0.18519412,0.06443723,0.03988738,0.07128829,0.15386929,0.0440502,0.18931095,0.05857407,0.03883666,0.0614515,0.06491628,0.08604372,0.02331783,0.04445657,0.09211825,0.08281243,0.2384866,0.0652257,0.03539541,0.05699596,0.07379058,0.09438379,0.08105153,0.07433647,0.06836148,0.1269135,0.08116076,0.15676716,0.05543599,0.39748557,0.05968293,0.05440495,0.0546802,0.0484841,0.05146566,0.078848,0.0582804,0.04605254,0.08179908,0.07818993,0.0372125,0.06090115,0.05488166,0.07901367,0.23745132,0.28017795,0.20139575,0.05348212,0.1266728,0.08203274,0.0753405,0.06616609,0.11781373,0.06172138,0.07876931,0.07396519,0.04648375,0.03195972,0.04604192,0.07830846,0.0595464,0.10914642,0.04774521,0.06725336,0.12454558,0.02327577,0.31825135,0.19710354,0.02556413,0.13467748,0.07060489,0.14409238,0.03778908,0.22512372,0.32433336,0.12416971,0.07475498,0.07792758,0.07121444,0.018199
0.03,0.11191752,0.22751303,0.05505412,0.07326084,0.07191043,0.16005223,0.24436734,0.1146185,0.14518275,0.04999317,0.03968125,0.19727149,0.19375718,0.17166301,0.22498886,0.21591464,0.29305264,0.20746565,0.226033,0.21804002,0.18863098,0.21265531,0.2351431,0.18682882,0.0644204,0.03987239,0.07137068,0.15322188,0.04418628,0.19028814,0.05861796,0.0389307,0.06149167,0.06504589,0.08600601,0.02370899,0.04453439,0.09244893,0.08284876,0.2386053,0.06514107,0.0355005,0.05703314,0.07319387,0.09439745,0.08110986,0.07453869,0.06837094,0.12683504,0.08112473,0.15604362,0.05551348,0.39784296,0.05968514,0.05442393,0.05465343,0.04857984,0.05145365,0.07924205,0.05831051,0.04605064,0.08183168,0.07824091,0.03734695,0.0609886,0.05491066,0.07922579,0.2438946,0.28210129,0.19973267,0.05347596,0.12655555,0.08255713,0.07022677,0.06728527,0.11806938,0.06173711,0.07889305,0.07584499,0.04650038,0.03201329,0.04599778,0.07860349,0.05969702,0.10774971,0.04762823,0.06727208,0.12519206,0.02326324,0.31795976,0.19748718,0.02557521,0.13479068,0.07062621,0.14435218,0.03779402,0.22663656,0.33759447,0.12449201,0.07387495,0.0779349,0.0724422,0.01820171
0.032,0.11223076,0.22745524,0.0553768,0.07336271,0.07195676,0.16012068,0.24522521,0.12030798,0.14255404,0.04834847,0.03965825,0.19719746,0.19396418,0.17173204,0.22591889,0.21614389,0.29446019,0.20756357,0.22677325,0.21813499,0.18906659,0.21292524,0.23627114,0.18820706,0.06435786,0.04019779,0.07137318,0.1523539,0.04410755,0.19679959,0.05870933,0.03866896,0.06161438,0.0652159,0.08604003,0.02399265,0.04464739,0.09234421,0.08270317,0.23748235,0.06512525,0.03560414,0.05702707,0.07306004,0.09451879,0.08114488,0.074616,0.06861302,0.12680737,0.08124184,0.15175584,0.05542363,0.39796066,0.05977535,0.05442253,0.0545983,0.04906706,0.05151864,0.07958321,0.05830982,0.04610905,0.08191807,0.07841041,0.0379209,0.06087597,0.0551534,0.07962312,0.25642847,0.28365108,0.1947751,0.05355273,0.12450301,0.08341652,0.07218321,0.07272608,0.11824307,0.06174749,0.07920685,0.0748077,0.04653581,0.03209303,0.04611108,0.07885585,0.05942996,0.11866755,0.0472253,0.06736546,0.12615822,0.02347031,0.31693078,0.19819736,0.02559684,0.13485558,0.07065565,0.14472945,0.03780454,0.22693916,0.32411696,0.12485252,0.07719115,0.07795066,0.07320894,0.01820751
0.035,0.11224995,0.22654343,0.0556187,0.07369329,0.07200194,0.16016331,0.24622219,0.12119365,0.14822361,0.04979205,0.03844423,0.20021056,0.19476346,0.17235462,0.22563568,0.21694067,0.29130405,0.20773555,0.22632356,0.21903712,0.18906766,0.21351068,0.23611957,0.1870118,0.06451307,0.04063673,0.07161507,0.15178791,0.04392176,0.19865481,0.05891504,0.03930956,0.06198453,0.06515168,0.08654525,0.02457082,0.04480086,0.09259646,0.08266386,0.2331124,0.06487929,0.03568292,0.05715024,0.07334414,0.0947259,0.08126404,0.07513094,0.06863198,0.12777464,0.08125226,0.15202098,0.0553616,0.398705,0.05976874,0.05454061,0.05464896,0.04928283,0.05169334,0.07964203,0.05839882,0.04620258,0.08199824,0.07848442,0.0384169,0.0609058,0.05518864,0.07974199,0.25445532,0.28795425,0.19580745,0.05359423,0.12646121,0.08315848,0.07177479,0.07628785,0.1175595,0.06189888,0.07927941,0.07612038,0.04682751,0.03207598,0.04627363,0.07883277,0.06013758,0.11309741,0.04800421,0.06722797,0.12602139,0.02358843,0.31893158,0.19969519,0.02561985,0.13499453,0.07070534,0.14540469,0.03782069,0.22475948,0.30495218,0.12428358,0.07586662,0.07798094,0.07395898,0.01821585
0.036,0.1125364,0.22761051,0.05564085,0.07374581,0.07201796,0.16017816,0.24643646,0.11966472,0.1501363,0.04993346,0.03862784,0.2011897,0.19522057,0.17279645,0.22640199,0.21669413,0.29286566,0.20772047,0.22642871,0.21946903,0.18897368,0.21358941,0.23609985,0.1879581,0.06448344,0.04062763,0.07164084,0.15141363,0.04439765,0.1981946,0.05896095,0.03954101,0.06201483,0.06506122,0.08661668,0.02493956,0.04484113,0.09256356,0.08291557,0.23400146,0.06481677,0.03563791,0.0571858,0.07357558,0.09479482,0.08136401,0.07479882,0.06886752,0.12882535,0.08116993,0.15264496,0.05530156,0.39927938,0.05970806,0.05464937,0.05470727,0.04851395,0.05181082,0.07942866,0.05845138,0.04626737,0.08194271,0.07853664,0.03857206,0.06087726,0.05535645,0.0797342,0.25369072,0.29344728,0.19968706,0.05359351,0.12698258,0.08291887,0.07234345,0.07656728,0.11701513,0.06193998,0.07931328,0.07651406,0.04691223,0.03216382,0.04626707,0.07855824,0.06011744,0.11206844,0.04817074,0.06739366,0.1263076,0.02362624,0.31891748,0.20070883,0.02562872,0.13526125,0.07072574,0.14510473,0.03782692,0.22471385,0.31234404,0.12467032,0.07575523,0.07798905,0.07499471,0.01821956
0.04,0.11332327,0.22998052,0.05584022,0.07423021,0.07204942,0.16022073,0.24835029,0.11859182,0.1471474,0.0499556,0.03903388,0.20118897,0.20023245,0.17301815,0.22807901,0.22025972,0.29641114,0.20754556,0.22852007,0.21949043,0.18890256,0.21360525,0.23593951,0.18809143,0.06471845,0.04004874,0.07225245,0.15310686,0.04581702,0.1995415,0.0593411,0.03916575,0.06227394,0.06519617,0.08712677,0.02455456,0.0447434,0.09371467,0.08365987,0.23439445,0.06509564,0.03587551,0.05772151,0.07367395,0.09510139,0.08237432,0.0756529,0.06939358,0.12817916,0.08133688,0.15373046,0.05541515,0.39723559,0.05977688,0.05469001,0.05492177,0.05069618,0.05235069,0.07971753,0.05871051,0.04646032,0.08210359,0.07855344,0.03925342,0.06126296,0.05590718,0.08020768,0.23692895,0.30071984,0.20904018,0.05385415,0.12696114,0.08313223,0.07186414,0.07323727,0.12187896,0.0621776,0.08013035,0.07757195,0.04699931,0.03221738,0.04620857,0.07886204,0.06009098,0.11275303,0.0488224,0.06871855,0.12641488,0.0233948,0.31830456,0.19811444,0.02567507,0.13687716,0.07060685,0.14480427,0.03785316,0.22972272,0.34255054,0.12617505,0.08355627,0.0780278,0.07392681,0.01823587
0.042,0.11392135,0.23138534,0.05608858,0.07489826,0.07206715,0.16025859,0.24923228,0.11937141,0.14925641,0.05074414,0.03949378,0.20252079,0.20161145,0.17217413,0.22958414,0.21987117,0.29664441,0.20849299,0.23018112,0.22404296,0.18898795,0.21371326,0.2362194,0.18982911,0.06468995,0.04049851,0.07222285,0.15445212,0.04600711,0.20001261,0.05924779,0.03889076,0.06252167,0.06540015,0.08735293,0.02587912,0.04455958,0.0939107,0.08302572,0.23399089,0.06543917,0.03607623,0.0577861,0.07410889,0.09545884,0.08197841,0.07597973,0.06941532,0.12914955,0.08140353,0.15418644,0.05557853,0.39942794,0.05987,0.05465952,0.05508044,0.05212022,0.0525108,0.07966719,0.05891535,0.04633323,0.08230935,0.07890235,0.03965769,0.06168366,0.05610197,0.07992599,0.23849269,0.30575129,0.20998246,0.05381182,0.12789606,0.08304181,0.07414594,0.07562756,0.12227649,0.0622626,0.08073089,0.07851895,0.04708679,0.03220376,0.04630717,0.07903936,0.0602969,0.1159671,0.04887365,0.06925128,0.12766013,0.02334066,0.31712007,0.19921474,0.02571659,0.13771524,0.07071713,0.14455934,0.03786682,0.23025767,0.34935704,0.12650909,0.08424205,0.0780509,0.07441598,0.01824361
