
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-12


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.0
Magnitude Max:, 9.0
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, 20.0
D9-95 Max (sec):, 60.0
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
22, SRSS, 833, -, 1.0, -, 22.3, 27.7, 0.1, "Landers", 1992, "Anaheim - W Ball Rd", 7.28, strike slip, 144.9, 144.9, 269.29, 0.043, 1.0, RSN833_LANDERS_WBA000.AT2, RSN833_LANDERS_WBA090.AT2 , RSN833_LANDERS_WBA-UP.AT2  
23, SRSS, 834, -, 1.0, -, 23.4, 35.2, 0.0, "Landers", 1992, "Arcadia - Arcadia Av", 7.28, strike slip, 137.25, 137.25, 330.5, 0.09, 1.0, RSN834_LANDERS_ARC172.AT2, RSN834_LANDERS_ARC262.AT2 , RSN834_LANDERS_ARC-UP.AT2  
24, SRSS, 835, -, 1.0, -, 21.2, 29.9, 0.1, "Landers", 1992, "Arcadia - Campus Dr", 7.28, strike slip, 135.22, 135.22, 367.53, 0.2, 1.0, RSN835_LANDERS_CAM009.AT2, RSN835_LANDERS_CAM279.AT2 , RSN835_LANDERS_CAM-UP.AT2  
25, SRSS, 836, -, 1.0, -, 12.3, 25.7, 0.3, "Landers", 1992, "Baker Fire Station", 7.28, strike slip, 87.94, 87.94, 324.62, 0.1, 1.0, RSN836_LANDERS_BAK050.AT2, RSN836_LANDERS_BAK140.AT2 , RSN836_LANDERS_BAK-UP.AT2  
26, SRSS, 837, -, 1.0, -, 19.2, 25.6, 0.0, "Landers", 1992, "Baldwin Park - N Holly", 7.28, strike slip, 131.92, 131.92, 544.68, 0.06, 1.0, RSN837_LANDERS_NHO180.AT2, RSN837_LANDERS_NHO270.AT2 , RSN837_LANDERS_NHO-UP.AT2  
27, SRSS, 838, -, 1.0, 9.128, 12.3, 21.3, 0.2, "Landers", 1992, "Barstow", 7.28, strike slip, 34.86, 34.86, 370.08, 0.07, 1.0, RSN838_LANDERS_BRS000.AT2, RSN838_LANDERS_BRS090.AT2 , RSN838_LANDERS_BRS-UP.AT2  
28, SRSS, 839, -, 1.0, -, 19.8, 25.9, 0.1, "Landers", 1992, "Bell Gardens - Jaboneria", 7.28, strike slip, 154.26, 154.26, 267.13, 0.06, 1.0, RSN839_LANDERS_JAB220.AT2, RSN839_LANDERS_JAB310.AT2 , RSN839_LANDERS_JAB-UP.AT2  
29, SRSS, 840, -, 1.0, -, 25.7, 32.9, 0.0, "Landers", 1992, "Big Tujunga_ Angeles Nat F", 7.28, strike slip, 144.13, 144.13, 550.11, 0.063, 1.0, RSN840_LANDERS_TUJ262.AT2, RSN840_LANDERS_TUJ352.AT2 , RSN840_LANDERS_TUJ-UP.AT2  
30, SRSS, 842, -, 1.0, -, 21.9, 30.7, 0.1, "Landers", 1992, "Brea - S Flower Av", 7.28, strike slip, 137.44, 137.44, 322.75, 0.05, 1.0, RSN842_LANDERS_FLO020.AT2, RSN842_LANDERS_FLO290.AT2 , RSN842_LANDERS_FLO-UP.AT2  
31, SRSS, 843, -, 1.0, -, 20.6, 25.4, 0.1, "Landers", 1992, "Buena Park - La Palma", 7.28, strike slip, 150.09, 150.09, 270.96, 0.05, 1.0, RSN843_LANDERS_BPK090.AT2, RSN843_LANDERS_BPK180.AT2 , RSN843_LANDERS_BPK-UP.AT2  
32, SRSS, 844, -, 1.0, -, 23.4, 35.9, 0.2, "Landers", 1992, "Burbank - N Buena Vista", 7.28, strike slip, 157.94, 157.94, 320.57, 0.2, 1.0, RSN844_LANDERS_BUE250.AT2, RSN844_LANDERS_BUE340.AT2 , RSN844_LANDERS_BUE-UP.AT2  
33, SRSS, 845, -, 1.0, -, 21.0, 31.1, 0.0, "Landers", 1992, "Calabasas - N Las Virg", 7.28, strike slip, 190.05, 190.05, 403.72, 0.3, 1.0, RSN845_LANDERS_VIR200.AT2, RSN845_LANDERS_VIR290.AT2 , RSN845_LANDERS_VIR-UP.AT2  
34, SRSS, 846, -, 1.0, -, 28.8, 39.6, 0.0, "Landers", 1992, "Chatsworth - Devonshire", 7.28, strike slip, 172.45, 172.45, 409.4, 0.05, 1.0, RSN846_LANDERS_DEV000.AT2, RSN846_LANDERS_DEV090.AT2 , RSN846_LANDERS_DEV-UP.AT2  
35, SRSS, 847, -, 1.0, -, 18.2, 23.9, 0.2, "Landers", 1992, "Compton - Castlegate St", 7.28, strike slip, 161.23, 161.23, 266.9, 0.05, 1.0, RSN847_LANDERS_CAS000.AT2, RSN847_LANDERS_CAS270.AT2 , RSN847_LANDERS_CAS-UP.AT2  
36, SRSS, 849, -, 1.0, -, 20.0, 27.6, 0.1, "Landers", 1992, "Covina - W Badillo", 7.28, strike slip, 128.06, 128.06, 324.79, 0.1, 1.0, RSN849_LANDERS_BAD000.AT2, RSN849_LANDERS_BAD270.AT2 , RSN849_LANDERS_BAD-UP.AT2  
37, SRSS, 850, -, 1.0, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 1.0, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
38, SRSS, 851, -, 1.0, -, 28.7, 49.8, 0.1, "Landers", 1992, "Downey - Co Maint Bldg", 7.28, strike slip, 157.46, 157.46, 271.9, 0.07, 1.0, RSN851_LANDERS_DWN000.AT2, RSN851_LANDERS_DWN090.AT2 , RSN851_LANDERS_DWN-UP.AT2  
39, SRSS, 852, -, 1.0, -, 15.6, 25.8, 0.0, "Landers", 1992, "Duarte - Mel Canyon Rd.", 7.28, strike slip, 126.33, 126.33, 459.14, 0.07, 1.0, RSN852_LANDERS_MEL090.AT2, RSN852_LANDERS_MEL180.AT2 , RSN852_LANDERS_MEL-UP.AT2  
40, SRSS, 853, -, 1.0, -, 18.9, 26.9, 0.1, "Landers", 1992, "El Monte - Fairview Av", 7.28, strike slip, 135.88, 135.88, 290.63, 0.1, 1.0, RSN853_LANDERS_FAI095.AT2, RSN853_LANDERS_FAI185.AT2 , RSN853_LANDERS_FAI-UP.AT2  
41, SRSS, 854, -, 1.0, -, 17.0, 25.5, 0.1, "Landers", 1992, "Featherly Park - Maint", 7.28, strike slip, 121.8, 121.8, 367.54, 0.16, 1.0, RSN854_LANDERS_FEA000.AT2, RSN854_LANDERS_FEA090.AT2 , RSN854_LANDERS_FEA-UP.AT2  
42, SRSS, 856, -, 1.0, -, 20.9, 27.7, 0.2, "Landers", 1992, "Fountain Valley - Euclid", 7.28, strike slip, 146.89, 146.89, 270.54, 0.05, 1.0, RSN856_LANDERS_EUC022.AT2, RSN856_LANDERS_EUC292.AT2 , RSN856_LANDERS_EUC-UP.AT2  
43, SRSS, 857, -, 1.0, -, 18.0, 25.6, 0.1, "Landers", 1992, "Glendale - Las Palmas", 7.28, strike slip, 148.07, 148.07, 371.07, 0.3, 1.0, RSN857_LANDERS_GLP177.AT2, RSN857_LANDERS_GLP267.AT2 , RSN857_LANDERS_GLP-UP.AT2  
44, SRSS, 858, -, 1.0, -, 17.7, 26.5, 0.1, "Landers", 1992, "Glendora - N Oakbank", 7.28, strike slip, 122.61, 122.61, 362.31, 0.08, 1.0, RSN858_LANDERS_OAK080.AT2, RSN858_LANDERS_OAK170.AT2 , RSN858_LANDERS_OAK-UP.AT2  
45, SRSS, 859, -, 1.0, -, 17.7, 29.5, 0.1, "Landers", 1992, "Hacienda Heights - Colima", 7.28, strike slip, 136.29, 136.29, 337.0, 0.06, 1.0, RSN859_LANDERS_COM140.AT2, RSN859_LANDERS_COM230.AT2 , RSN859_LANDERS_COM-UP.AT2  
46, SRSS, 860, -, 1.0, -, 22.6, 33.1, 0.3, "Landers", 1992, "Hemet Fire Station", 7.28, strike slip, 68.66, 68.66, 328.09, 0.16, 1.0, RSN860_LANDERS_H05000.AT2, RSN860_LANDERS_H05090.AT2 , RSN860_LANDERS_H05-UP.AT2  
47, SRSS, 861, -, 1.0, -, 18.9, 24.9, 0.1, "Landers", 1992, "Huntington Bch - Waikiki", 7.28, strike slip, 156.0, 156.0, 270.54, 0.05, 1.0, RSN861_LANDERS_WAI200.AT2, RSN861_LANDERS_WAI290.AT2 , RSN861_LANDERS_WAI-UP.AT2  
48, SRSS, 862, -, 1.0, -, 25.2, 37.9, 0.3, "Landers", 1992, "Indio - Coachella Canal", 7.28, strike slip, 54.25, 54.25, 339.02, 0.1, 1.0, RSN862_LANDERS_IND000.AT2, RSN862_LANDERS_IND090.AT2 , RSN862_LANDERS_IND-UP.AT2  
49, SRSS, 863, -, 1.0, -, 26.2, 50.5, 0.1, "Landers", 1992, "Inglewood - Union Oil", 7.28, strike slip, 167.27, 167.27, 316.02, 0.07, 1.0, RSN863_LANDERS_ING000.AT2, RSN863_LANDERS_ING090.AT2 , RSN863_LANDERS_ING-UP.AT2  
